player_id,uniform_number,name,team,position,birth_day,height,weight,school,player_id,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,실책,도루성공률,멀티히트,출루율+장타율,득점권타율,대타타율
66406,14.0,안주형,삼성,내야수,1993-08-14,176.0,68.0,부산중앙초-부산중-부경고-영남대,66406,0.235,8,18,17,3,4,0,0,1,7,2,0,1,0,0,1,0,0,5,1,0.412,0.278,2,0.0,0,0.69,0.0,0.0
66409,13.0,이성규,삼성,외야수,1993-08-03,178.0,82.0,광주대성초-광주동성중-광주동성고-인하대-삼성-경찰,66409,0.198,68,154,126,17,25,5,1,6,50,21,2,2,1,2,15,0,10,52,3,0.397,0.327,2,50.0,3,0.724,0.256,0.154
66606,31.0,최원준,NC,외야수,1997-03-23,178.0,85.0,연현초-서울경원중-서울고-KIA-상무-KIA,66606,0.242,126,449,413,62,100,13,3,6,137,44,26,8,2,5,23,0,6,71,5,0.332,0.289,3,76.5,24,0.621,0.224,0.2
66614,14.0,김규성,KIA,내야수,1997-03-08,185.0,88.0,갈산초-선린중-선린인터넷고,66614,0.233,133,222,193,30,45,4,0,3,58,16,5,2,5,1,21,0,2,49,1,0.301,0.313,10,71.4,9,0.614,0.204,0.714
66657,10.0,이진영,한화,외야수,1997-07-21,183.0,89.0,둔촌초-선린중-선린인터넷고-KIA-경찰-KIA,66657,0.274,115,366,321,49,88,13,0,11,134,43,1,4,0,5,38,0,2,93,8,0.417,0.35,2,20.0,19,0.767,0.239,0.25
66662,25.0,신범수,SSG,포수,1998-01-25,177.0,83.0,광주대성초-광주동성중-광주동성고-KIA,66662,0.182,29,39,33,1,6,1,0,1,10,3,0,0,0,0,5,0,1,7,0,0.303,0.308,0,0.0,0,0.611,0.143,0.4
66704,25.0,김태연,한화,외야수,1997-06-10,178.0,96.0,서울청구초-덕수중-야탑고,66704,0.261,120,340,303,40,79,15,0,3,103,20,5,3,6,0,23,0,8,62,10,0.34,0.329,5,62.5,19,0.669,0.197,0.067
66706,51.0,장진혁,KT,외야수,1993-09-30,184.0,90.0,광주화정초-충장중-광주제일고-단국대-한화,66706,0.209,86,157,139,19,29,3,1,4,46,19,1,0,4,1,13,0,0,46,1,0.331,0.275,1,100.0,5,0.606,0.184,0.167
66715,37.0,김인환,한화,내야수,1994-01-28,186.0,100.0,화순초-화순중-화순고-성균관대,66715,0.08,10,26,25,2,2,0,0,1,5,3,0,0,0,0,1,0,0,9,1,0.2,0.115,2,0.0,0,0.315,0.167,0.0
66838,38.0,김동엽,키움,외야수,1990-07-24,186.0,101.0,천안남산초-천안북중-북일고-SK-삼성,66838,0.222,9,29,27,2,6,2,0,0,8,2,0,0,0,0,2,0,0,11,1,0.296,0.276,0,0.0,2,0.572,0.5,0.0
66864,10.0,안상현,SSG,내야수,1997-01-27,178.0,74.0,사파초-선린중-용마고-SK-상무,66864,0.264,102,289,258,38,68,8,2,6,98,15,17,6,9,2,18,0,2,85,2,0.38,0.314,9,73.9,19,0.694,0.2,0.0
66917,5.0,김찬형,SSG,내야수,1997-12-29,182.0,83.0,양정초-경남중-경남고-NC-SSG-상무,66917,0.178,44,78,73,4,13,2,0,0,15,5,0,0,1,0,3,0,1,13,3,0.205,0.221,4,0.0,3,0.426,0.25,0.0
66928,16.0,박준영,두산,내야수,1997-08-05,180.0,90.0,서울도곡초(남양주리틀)-잠신중-경기고-NC,66928,0.225,41,126,111,9,25,8,0,1,36,10,3,0,1,1,10,0,3,32,1,0.324,0.304,8,100.0,6,0.628,0.179,0.0
66965,16.0,도태훈,NC,내야수,1993-03-18,184.0,85.0,양정초-개성중-부산고-동의대-NC-상무,66965,0.182,61,98,77,9,14,4,1,1,23,8,3,0,6,0,7,0,8,16,2,0.299,0.315,3,100.0,2,0.614,0.2,0.0
67005,63.0,홍현빈,삼성,외야수,1997-08-29,174.0,70.0,수원신곡초-매송중-유신고-KT-상무,67005,0.125,32,38,32,8,4,2,0,0,6,0,0,0,2,0,3,0,1,8,0,0.188,0.222,1,0.0,0,0.41,0.167,0.143
67006,8.0,안치영,KT,외야수,1998-05-29,176.0,72.0,중동초(원미구리틀)-천안북중-북일고,67006,0.227,47,56,44,9,10,1,0,1,14,6,0,2,4,1,4,0,3,13,1,0.318,0.327,0,0.0,1,0.645,0.308,0.0
67025,,로하스,KT,외야수,1990-05-24,189.0,102.0,미국 Wabash Valley(대)-KT,67025,0.239,95,384,331,48,79,20,0,14,141,43,1,1,0,4,48,3,1,71,9,0.426,0.333,4,50.0,18,0.759,0.227,0.167
